NAME	LONGNAME	efo_label	release	valid	invalid	efo_cls	xref_source	xref	simple_xref	quality	toImport	Comments
AB1_AMOEBIASIS	Amoebiasis	amebiasis	r4/5	TRUE	FALSE	EFO_0007144	ot_mappings			0.999		
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	herpes simplex infection	r4/5	FALSE	TRUE	EFO_1002022	ot_mappings			0.8261742733		
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	genital herpes	r4/5	TRUE	FALSE	EFO_0007282	manual					
AB1_ARTHROPOD	Arthropod-borne viral fevers and viral haemorrhagic fevers	viral disease	r2	TRUE	FALSE	EFO_0000763	ICD_10	A9[2-9]	A94	NA		
AB1_ARTHROPOD	Arthropod-borne viral fevers and viral haemorrhagic fevers	viral hemorrhagic fever	r2	TRUE	FALSE	MONDO_0018087	OLS_API_EFO_lookup	NA	NA	fuzzy		
AB1_ASPERGILLOSIS	Aspergillosis	aspergillosis	r4/5	TRUE	FALSE	EFO_0007157	ot_mappings			1		
AB1_ATYPICAL_CNS_VIRUS	Atypical virus infections of central nervous system	central nervous system infection	r4/5	FALSE	TRUE	EFO_1001456	ot_mappings			0.8623038941		
AB1_ATYPICAL_CNS_VIRUS	Atypical virus infections of central nervous system	viral infection of central nervous system	r4/5	TRUE	FALSE	MONDO_0024318	manual					
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents	bacterial disease	r2	TRUE	FALSE	EFO_0000771	manual					
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents	viral disease	r2	TRUE	FALSE	EFO_0000763	manual					
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents	infectious disease	r2	TRUE	FALSE	EFO_0005741	manual					
AB1_BACT_INTEST_OTH	Other bacterial intestinal infections	bacterial disease	r4/5	TRUE	FALSE	EFO_0000771	ot_mappings			0.8298097277		
AB1_BACTINF_NOS	Bacterial infection, other or unspecified	bacterial disease	r4/5	TRUE	FALSE	EFO_0000771	ot_mappings			0.8691447542		
AB1_CANDIDIASIS	Candidiasis	candidiasis	r4/5	TRUE	FALSE	MONDO_0002026	ot_mappings			1		
AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases	sexually transmitted disease	r4/5	TRUE	FALSE	MONDO_0021681	ot_mappings			0.9196834788		
AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases	chlamydiaceae infections	r4/5	TRUE	FALSE	EFO_1001288	ICD_10					
AB1_CMV	Cytomegaloviral disease	cytomegalovirus infection	r4/5	TRUE	FALSE	EFO_0001062	ot_mappings			0.999		
AB1_DERMATOPHYTOSIS	Dermatophytosis	dermatophytosis	r4/5	TRUE	FALSE	MONDO_0004678	ot_mappings			1		
AB1_EARLY_SYPHILIS	Early syphilis	syphilis	r4/5	TRUE	FALSE	EFO_0007504	ot_mappings			0.7829022421		
AB1_EBV	Infectious mononucleosis	infectious mononucleosis	r4/5	TRUE	FALSE	EFO_0007326	ot_mappings			1		
AB1_ERYSIPELAS	Erysipelas	erysipelas	r4/5	TRUE	FALSE	EFO_1001462	ot_mappings			1		
AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin	diarrheal disease	r4/5	FALSE	TRUE	MONDO_0001673	ot_mappings			0.7818544507		
AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin	infectious diarrheal disease	r4/5	TRUE	FALSE	MONDO_0045031	manual					
AB1_GHLAMY_OTHER	Other diseases caused by chlamydiae	chlamydiaceae infections	r4/5	TRUE	FALSE	EFO_1001288	manual					
AB1_GONOCOCCAL	Gonococcal infection	gonorrhea	r4/5	TRUE	FALSE	DOID_7551	manual					
AB1_HELMINTIASES	Helminthiases	echinococcosis	r3	TRUE	FALSE	EFO_0007245	ICD_10;ICD_9	B6[5-9]|B7[0-9]|B8[0-3];12[0-3]	B67;122	NA		
AB1_HELMINTIASES	Helminthiases	helminthiasis	r3	TRUE	FALSE	EFO_1001342	ICD_10	B6[5-9]|B7[0-9]|B8[0-3]	B66;B83	NA		
AB1_HEPATITIS_OTHER_VIRAL	Other  viral hepatitis	viral human hepatitis infection	r4/5	TRUE	FALSE	EFO_0004196	ot_mappings			0.999		
AB1_HEPATITIS_OTHER_VIRAL	Other  viral hepatitis	animal viral hepatitis	r4/5	FALSE	TRUE	EFO_0007540	ot_mappings			0.999		
AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections	herpes simplex infection	r4/5	TRUE	FALSE	EFO_1002022	ot_mappings			0.9348521937		
AB1_HIV	Human immunodeficiency virus [HIV] disease	hiv infection	r2	TRUE	FALSE	EFO_0000764	ICD_10;OLS_API_EFO_lookup	B2[0-4]	B20;B24	match		
AB1_HIV_NOS	Unspecified human immunodeficiency virus [HIV] disease	hiv infection	r4/5	TRUE	FALSE	EFO_0000764	ot_mappings			0.9519985882		
AB1_INFECTIONS	Certain infectious and parasitic diseases	infectious disease	r2	TRUE	FALSE	EFO_0005741	manual					
AB1_INFECTIONS	Certain infectious and parasitic diseases	parasitic infection	r2	TRUE	FALSE	EFO_0001067	OLS_API_EFO_lookup	NA	NA	fuzzy		
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	intestinal infectious disease	r2	TRUE	FALSE	MONDO_0000916	OLS_API_EFO_lookup	NA	NA	fuzzy		
AB1_LATE_SYPHILIS	Late syphilis	tertiary syphilis	r4/5	TRUE	FALSE	MONDO_0004497	ot_mappings			0.999		
AB1_MALARIA	Malaria	malaria	r4/5	TRUE	FALSE	EFO_0001068	ot_mappings			1		
