gwascat_population	1000g_superpopulation	confidence
European	EUR	High
African American or Afro-Caribbean	AFR	High
Native American	AMR	Medium
Asian unspecified		
Hispanic or Latin American	AMR	High
East Asian	EAS	High
Central Asian		
Oceanian	EAS	Medium
South East Asian	EAS	Medium
Other admixed ancestry		
African unspecified	AFR	High
Sub-Saharan African	AFR	High
"Greater Middle Eastern (Middle Eastern, North African or Persian)"		
Aboriginal Australian		
Other		
South Asian	SAS	High
NR		
