category	term_label	display_label
disease	cardiovascular disease	cardiovascular
disease	disease of genitourinary system	disease of genitourinary system
disease	endocrine system disease	endocrine system
disease	hematologic disease	hematologic
disease	immune system disease	immune system
disease	integumentary system disease	integumentary system
disease	mediastinal disease	mediastinal
disease	musculoskeletal system disease	musculoskeletal system
disease	nervous system disease	nervous system
disease	respiratory system disease	respiratory system
disease	urinary system disease	urinary system
phenotype	Abnormality of connective tissue	endocrine system
phenotype	Abnormality of head or neck	Abnormality of head or neck
phenotype	Abnormality of the cardiovascular system	cardiovascular
phenotype	Abnormality of the digestive system	digestive system
phenotype	Abnormality of the ear	Abnormality of the ear
phenotype	Abnormality of the endocrine system	endocrine system
phenotype	Abnormality of the respiratory system	respiratory system
phenotype	Abnormality of the urinary system	urinary system
phenotype	Constitutional symptom	Constitutional symptom
phenotype	Micropenis	abnormality of the genital system
phenotype	Talipes equinovarus	Talipes equinovarus
phenotype	abnormality of blood and blood-forming tissues	hematologic
phenotype	abnormality of limbs	abnormality of limbs
phenotype	abnormality of metabolism/homeostasis	abnormality of metabolism/homeostasis
phenotype	abnormality of prenatal development or birth	abnormality of prenatal development or birth
phenotype	abnormality of the genital system	abnormality of the genital system
phenotype	abnormality of the immune system	immune system
phenotype	abnormality of the integument	abnormality of the integument
phenotype	abnormality of the musculature	musculoskeletal system
phenotype	abnormality of the nervous system	nervous system
phenotype	abnormality of the skeletal system	musculoskeletal system
phenotype	hypoxia	hypoxia
phenotype	necrosis	necrosis
disease	digestive system disease	digestive system
measurement	"1,5 anhydroglucitol measurement"	"1,5 anhydroglucitol measurement"
measurement	Breslow thickness	Breslow thickness
measurement	C9orf72 mutation status	C9orf72 mutation status
measurement	CASCOT confidence score measurement	CASCOT confidence score measurement
measurement	CHGA cleavage product measurement	CHGA cleavage product measurement
measurement	CHGB cleavage product measurement	CHGB cleavage product measurement
measurement	Gleason score measurement	Gleason score measurement
measurement	HER2 status	HER2 status
measurement	IGFBP-1 measurement	IGFBP-1 measurement
measurement	LDH-related sciatica symptom severity measurement	LDH-related sciatica symptom severity measurement
measurement	TP53 mutation status	TP53 mutation status
measurement	X12063 measurement	X12063 measurement
measurement	a disintegrin and metalloproteinase with thrombospondin motifs 5 measurement	a disintegrin and metalloproteinase with thrombospondin motifs 5 measurement
measurement	abnormal paneth cell measurement	abnormal paneth cell measurement
measurement	activities of daily living score measurement	activities of daily living score measurement
measurement	adhesion molecule measurement	adhesion molecule measurement
measurement	advanced glycation end-product measurement	advanced glycation end-product measurement
measurement	aggressive behaviour measurement	aggressive behaviour measurement
measurement	alcohol consumption measurement	alcohol consumption measurement
measurement	allergy measurement	allergy measurement
measurement	alpha-1-antitrypsin measurement	alpha-1-antitrypsin measurement
measurement	amino acid measurement	amino acid measurement
measurement	amyloid deposition measurement	amyloid deposition measurement
measurement	analgesia requirement measurement	analgesia requirement measurement
measurement	androstenedione measurement	androstenedione measurement
measurement	anthropometric measurement	anthropometric measurement
measurement	antibody measurement	antibody measurement
measurement	antioxidant measurement	antioxidant measurement
measurement	antisaccade response measurement	antisaccade response measurement
measurement	arthritis disease activity score measurement	arthritis disease activity score measurement
measurement	aspirin hydrolysis measurement	aspirin hydrolysis measurement
measurement	asthma exacerbation measurement	asthma exacerbation measurement
measurement	atazanavir measurement	atazanavir measurement
measurement	athletic endurance measurement	athletic endurance measurement
measurement	autoimmune disease biomarker	autoimmune disease biomarker
measurement	behavior or behavioral disorder measurement	behavior or behavioral disorder measurement
measurement	biopsy number	biopsy number
measurement	birth measurement	birth measurement
measurement	birth rate	birth rate
measurement	blood osmolality measurement	blood osmolality measurement
measurement	blood pressure change measurement	blood pressure change measurement
measurement	blood toxic metal measurement	blood toxic metal measurement
measurement	body odor measurement	body odor measurement
measurement	bone measurement	bone measurement
measurement	brain measurement	brain measurement
measurement	breast milk measurement	breast milk measurement
measurement	calcium measurement	calcium measurement
measurement	cancer aggressiveness measurement	cancer aggressiveness measurement
measurement	cancer biomarker measurement	cancer biomarker measurement
measurement	carbohydrate measurement	carbohydrate measurement
measurement	cardiac stress biomarker measurement	cardiac stress biomarker measurement
measurement	cardiovascular measurement	cardiovascular measurement
measurement	carotenoid measurement	carotenoid measurement
measurement	carotid artery measurement	carotid artery measurement
measurement	carrier status	carrier status
measurement	cerebrospinal fluid biomarker measurement	cerebrospinal fluid biomarker measurement
measurement	chloride measurement	chloride measurement
measurement	clinical laboratory measurement	clinical laboratory measurement
measurement	coagulation factor measurement	coagulation factor measurement
measurement	coenzyme Q10 measurement	coenzyme Q10 measurement
measurement	coffee consumption measurement	coffee consumption measurement
measurement	cognitive function measurement	cognitive function measurement
measurement	cognitive impairment measurement	cognitive impairment measurement
measurement	computed tomography	computed tomography
measurement	coronary atheroscleroris measurement	coronary atheroscleroris measurement
measurement	cotinine glucuronidation measurement	cotinine glucuronidation measurement
measurement	cotinine measurement	cotinine measurement
measurement	cranial vault morphology measurement	cranial vault morphology measurement
measurement	cutaneous psoriasis measurement	cutaneous psoriasis measurement
measurement	cytotoxicity measurement	cytotoxicity measurement
measurement	damage intensity	damage intensity
measurement	delivery measurement	delivery measurement
measurement	delta-5 desaturase measurement	delta-5 desaturase measurement
measurement	delta-6 desaturase measurement	delta-6 desaturase measurement
measurement	diabetes mellitus biomarker	diabetes mellitus biomarker
measurement	diet measurement	diet measurement
measurement	disease prognosis measurement	disease prognosis measurement
measurement	dose	dose
measurement	drug use measurement	drug use measurement
measurement	dysmenorrheic pain measurement	dysmenorrheic pain measurement
measurement	electrical current	electrical current
measurement	electrodermal activity measurement	electrodermal activity measurement
measurement	employment status	employment status
measurement	energy expenditure measurement	energy expenditure measurement
measurement	environmental exposure measurement	environmental exposure measurement
measurement	erosive tooth wear measurement	erosive tooth wear measurement
